,seg
0,"['建議', '接受', '一切']"
1,"['抽離', '不在意', '感情', '方法']"
2,"['超過', '進度', '趕快', '懷孕', '結婚', '之前', '任何']"
3,"['這種', '擇偶', '危險', '會不會', '很容', '天性', '女生', '之前', '完全']"
4,"['易給', '貝塔', '戴綠帽', '男友']"
5,"['愛他', '過去']"
6,"['問題', '也罷', '不要']"
7,"['受不了', '不然', '更好', '不到']"
8,"['記憶', '是種', '下一個', '負責抹平', '傷害', '決心']"
9,"['那女', '現在', '一個', '這麼', '什麼', '遇到', '只是']"
10,['男人']
11,"['那麼', '很難', '百依百順', '無微', '試試', '介意', '男方', '女方']"
12,"['愛就', 'men', '一點', '真的']"
13,"['緊放人', '耽誤', '男生', '在意', '自由', '人家']"
14,"['分手', '只能']"
15,"['無解', '做什麼', '無濟', '最後結', '局還', '男方', '女方', '在意']"
16,"['浪費', '時間', '分手', '不要']"
17,"['無解', '這裡', '沒人能', '幫到', '在意']"
18,"['平權', '男女']"
19,"['實話', '問題', '這種', '不正', '政治', '很大', '自己']"
20,"['經驗', '很亂', '機率', '百依百順', '女生']"
21,"['過去', '沒有', '那有', '遇到', '以前', '那些', '可能']"
22,"['當然', '這女', '不會', '主動講', '肯定', '自己']"
23,"['女生', '過去', '我建議', '角度', '不要', '方面']"
24,"['是還', '不太懂', '無法', '的點', '感覺', '接受', '女生', '自己', '可以']"
25,"['識人', '不清', '以前']"
26,"['所謂', '疑心生暗鬼', '道理']"
27,"['過不去', '在意', '交往', '事情', '不要']"
28,"['阿法', '一時', '一世']"
29,"['打不過', '加入']"
30,"['不會', '遇到', '潔身', '自愛的', '這麼', '女人']"
31,"['辦法', '在意']"
32,"['以為', '真的']"
33,"['就別', '在意', '一起']"
34,"['還以', '發文', '應該', '本質', '男生', '老公', '在意', '思考']"
35,"['覺得', '女生', '什麼', '欺負', '可憐', '還是', '在意']"
36,"['殘缺', '覺得', '不檢點', '擔心', '未來', '相處', '問題', '女生', '以前']"
37,"['給我', '覺得', '他絕', '不在意', '老公', '答案', '完全']"
38,"['那樣', '且過', '無法', '改變', '真的', '事情']"
39,"['實質', '影響', '虧的點', '不孕', '女生', '容易', '可能']"
40,"['這個', '男方', '不孕', '分手', '要用', '理由', '真的']"
41,"['什麼', '那要', '在意', '改善', '有效', '方法']"
42,"['感覺', '前男友', 'NTR', '禁不起']"
43,"['隨便', '墮胎', '智商', '太低']"
44,['在意']
45,"['我要', '抽搐', '生下', '破碎', '小孩', '爸爸', '每次']"
46,['一次']
47,"['有什麼', '墮過', '離過', '非處', '女什麼', '一樣', '應尊', '在意']"
48,"['在意', '需要']"
49,"['時候', '醒醒', '八家', '打炮', '勾引', '你家']"
50,"['遇到', '一個', '兩個', '56', '還被', '可以']"
51,"['腦子', '問題']"
52,"['一個', '銅板', '不會響']"
53,"['沒救', '一輩子']"
54,"['認真回', '別當', '業者', '階級', '隨著', '遺傳', '低端', '回收', '基因']"
55,"['你現', '這樣', '過不去', '別說', '結婚']"
56,['分手']
57,"['不夠', '結案', '男生', '女生', '在意']"
58,"['耽誤', '彼此']"
59,"['曾經', '騙過', '男生']"
60,"['下個', '異樣', '女友', '眼光']"
61,[]
62,"['疑人不用', '用人不疑']"
63,"['紅明顯', '趕跑', '猴子']"
64,"['愛的', '過去', '在意', '真的', '不能']"
65,"['講的', '男方', '那麼', '真的', '女方', '自己']"
66,"['那麼', '還有', '什麼', '介意']"
67,"['現在', '這麼', '愛都會', '問題', '在意', '感情']"
68,"['辦法', '過去', '沒辦法', '包容', '真的', '自己']"
69,"['始終', '那邊', '芥蒂', '分手', '碰到', '不然', '感情']"
70,"['時候', '變成', '傷害', '吵架', '彼此', '可能']"
71,"['對方', '生氣', '介意']"
72,"['女方', '要害', '分手', '不得']"
73,"['對方', '什麼', '還要', '目的', '知道']"
74,[]
75,"['愛玩', '搞不好', '自己']"
76,['Scorpio']
77,"['先別暈', '墮胎', 'Ok', '想想']"
78,"['在意', '一位']"
79,"['這女', '問題', '有腦', '兩次', '就算', '可以']"
80,['六次']
81,"['...', '去給', '前男友', '扯平', '不然', '朋友', '一下']"
82,"['其實', '男名', '女生', '朋友']"
83,"['可憐', '建議', '真心', '分手', '朋友', '不得', '直接']"
84,['哈哈哈']
85,"['不會', '提告', '保護', '還被', '方帶', '節奏', '不好', '女人', '自己']"
86,['有夠']
87,"['這種', '87%', '詐騙', '集團', '提款']"
88,"['專找', '這種', '幾個', '自以', '男生', '前面', '朋友', '真的']"
89,"['很壞', '有什麼', '男生', '前面', '朋友', '真的', '不同']"
90,"['腦袋', '問題', '還要', '女人', '可以']"
91,"['墮胎過', '當時', '內射', '而且', '表示']"
92,['朋友']
93,"['這個', '在意', '朋友']"
94,['在意']
95,"['初戀', '加處', '就當', '放屁', '在意', '朋友']"
96,[]
97,"['在意', '再問', '不要']"
98,"['不夠', '廢話', '個性', '男方', '女方', '在意', '太多', '不用']"
99,"['改倒', '還好', '難保以', '出什麼', '個性', '不然', '一下']"
100,"['東西', '改掉']"
101,"['墮胎', '願意', '幫忙', '養別', '小孩', '而已']"
102,"['疑心生暗鬼', '越來', '越覺', '下賤', '沒價值', '心態', '開始', '女生']"
103,"['輕浮', '進入', '玩玩', '模式']"
104,"['這個', '準備', '一個', '恭喜']"
105,"['只覺', '有夠', '乾淨', '好笑', '大概']"
106,['在意']
107,"['那麼', '還在', '抓著', '辮子', '男友', '知道']"
108,"['這應', '一個', '從良', '文中', '女生']"
109,"['墮胎', '怎麼']"
110,"['前男友', '丁特']"
111,"['會過', '在意', '分手', '不然']"
112,"['以後還', '會給', '綠帽', '女生']"
113,['分手']
114,['過去']
115,"['想不開', '早會', '發現', '還是', '一約', '不然', '加入']"
116,"['...', '還沒學', '這女']"
117,"['一種', '修飾', '在意', '文字', '只是']"
118,"['不會', '放棄', '經有', '在意', '答案']"
119,"['建議', '過去', '發生', '無法', '改變', '現在', '在乎', '一切']"
120,"['未來', '墮胎', '懷孕', '以後要', '有機', '建造', '表示']"
121,"['喜歡', '經營', '真心', '好好']"
122,"['別人', '什麼', '他們', '在過', '嘴巴', '日子', '身上', '自己']"
123,"['欣羨', '跟別', '攀比', '智慧', '感情', '一段', '令人']"
124,"['墮過', '坦承', '想像', '女孩', '而已', '很多']"
125,"['未來', '只會', '過去還', '女孩', '真的', '需要']"
126,['在意']
127,"['出發', '會不會', '幫助', '男生', '女生', '角度', '知道']"
128,"['多時', '候識', '單單', '推文', '輕浮', '不清', '提到', '上面', '等等']"
129,"['那麼', '簡單', '應該', '字眼', '朋友', '了解', '可以']"
130,"['什麼', '那麼', '或許', '不會', '的負', '既定', '付出', '容易', '那些', '自己']"
131,"['困住', '印象']"
132,"['以後為', '這個', '受不了', '一分', '免得']"
133,"['回收', '放出', '不要']"
134,"['現在', '不會', '在意', '就算', '知道']"
135,"['種事', '一輩子', '吞要']"
136,"['怎麼', '講的', '太怪', '在意', '朋友']"
137,[]
138,"['不覺', '墮胎', '怎麼樣', '本來', '有權', '選擇', '不要']"
139,['朋友']
140,"['有種', '墮胎', '還到', '處秀', '下線', '女孩子', '一堆', '看看']"
141,"['結果', '丟給', '養有', '父母']"
142,['牽線']
143,"['對方', '以後對', '夠忠貞', '除非', '不然', '感情', '朋友', '相信']"
144,['辦法']
145,"['有點', '兩人', '他們', '介意', '女生', '留意', '自己']"
146,"['鎖了', '療傷']"
147,"['不會', '這種', '對象']"
148,"['準備', '下來', '安定']"
149,"['建議', '痛苦']"
